add 0110011 000 0000000
sub 0110011 000 0100000
sll 0110011 001 0000000
slt 0110011 010 0000000
sltu 0110011 011 0000000
xor 0110011 100 0000000
srl 0110011 101 0000000
sra 0110011 101 0100000
or 0110011 110 0000000
and 0110011 111 0000000
lw 0000011 010
addi 0010011 000
slti 0010011 010
sltiu 0010011 011
xori 0010011 100
slri 0010011 101 0000000
slli 0010011 001 0000000
srai 0010011 101 0100000
ori 0010011 110
andi 0010011 111
jalr 1100111 000
sw 0100011 010 -1
beq 1100011 000 -1
bne 1100011 001 -1
blt 1100011 100 -1
bge 1100011 101 -1
auipc 0010111 -1 -1
lui 0110111 -1 -1
jal 1101111 -1 -1
mul 0110011 000 0000001
div 0110011 100 0000001
